,Date,Close
868,2023-06-14,13.88
869,2023-06-15,14.5
870,2023-06-16,13.54
871,2023-06-20,13.88
872,2023-06-21,13.2
873,2023-06-22,12.91
874,2023-06-23,13.44
875,2023-06-26,14.25
876,2023-06-27,13.74
877,2023-06-28,13.43
878,2023-06-29,13.54
879,2023-06-30,13.59
880,2023-07-03,13.57
881,2023-07-05,14.18
882,2023-07-06,15.44
883,2023-07-07,14.83
884,2023-07-10,15.07
885,2023-07-11,14.84
886,2023-07-12,13.54
887,2023-07-13,13.61
888,2023-07-14,13.34
889,2023-07-17,13.48
890,2023-07-18,13.3
891,2023-07-19,13.76
892,2023-07-20,13.99
893,2023-07-21,13.6
894,2023-07-24,13.91
895,2023-07-25,13.86
896,2023-07-26,13.19
897,2023-07-27,14.41
898,2023-07-28,13.33
899,2023-07-31,13.63
900,2023-08-01,13.93
901,2023-08-02,16.09
902,2023-08-03,15.92
903,2023-08-04,17.1
904,2023-08-07,15.77
905,2023-08-08,15.99
906,2023-08-09,15.96
907,2023-08-10,15.85
908,2023-08-11,14.84
909,2023-08-14,14.82
910,2023-08-15,16.46
911,2023-08-16,16.78
912,2023-08-17,17.89
913,2023-08-18,17.3
914,2023-08-21,17.13
915,2023-08-22,16.97
916,2023-08-23,15.98
917,2023-08-24,17.2
918,2023-08-25,15.68
919,2023-08-28,15.08
920,2023-08-29,14.45
921,2023-08-30,13.88
922,2023-08-31,13.57
923,2023-09-01,13.09
924,2023-09-05,14.01
925,2023-09-06,14.45
926,2023-09-07,14.4
927,2023-09-08,13.84
928,2023-09-11,13.8
929,2023-09-12,14.23
930,2023-09-13,13.48
931,2023-09-14,12.82
932,2023-09-15,13.79
933,2023-09-18,14.0
934,2023-09-19,14.11
935,2023-09-20,15.14
936,2023-09-21,17.54
937,2023-09-22,17.2
938,2023-09-25,16.9
939,2023-09-26,18.94
940,2023-09-27,18.22
941,2023-09-28,17.34
942,2023-09-29,17.52
943,2023-10-02,17.61
944,2023-10-03,19.78
945,2023-10-04,18.58
946,2023-10-05,18.49
947,2023-10-06,17.45
948,2023-10-09,17.7
949,2023-10-10,17.03
950,2023-10-11,16.09
951,2023-10-12,16.69
952,2023-10-13,19.32
953,2023-10-16,17.21
954,2023-10-17,17.88
955,2023-10-18,19.22
